timestamp,ping,download,upload
1638361356188.8572,21.21,94.1,36.93
1638361471561.2012,17.72,92.76,37.04
1638364501054.106,18.95,93.8,36.61
1638368101057.516,19.93,93.77,36.25
1638371701249.825,22.01,93.86,35.7
1638375301108.813,21.29,71.57,36.08
1638378900127.807,193.25,16.17,23.92
1638382500665.705,27.92,61.0,36.84
1638386100541.9,27.67,92.2,37.11
1638389700564.7249,22.38,83.96,36.75
1638393300583.038,22.27,91.98,37.42
1638396900606.07,17.84,92.83,37.54
1638400500628.203,106.58,81.12,32.56
1638404100653.089,95.64,79.89,31.37
1638407700685.557,97.0,82.61,35.12
1638411300704.845,36.49,85.56,33.6
1638414900729.304,23.08,89.68,37.62
1638418500745.881,26.09,90.54,37.56
1638422100785.2732,20.95,93.99,37.29
1638425700811.407,14.51,93.84,37.21
1638429300217.833,15.19,94.1,36.22
1638432900491.102,173.41,69.93,22.56
1638436500355.4941,159.57,39.28,25.31
1638440100341.0288,166.48,67.73,31.26
1638443700357.302,38.19,67.95,37.17
1638447300609.9492,25.23,70.25,36.64
1638450900412.513,23.95,85.11,36.98
1638454500419.04,33.92,92.63,34.92
1638458100446.6829,19.26,91.56,36.54
1638461700472.6519,23.0,91.84,37.31
1638465300506.601,23.8,83.01,37.02
1638468900531.118,16.34,93.49,37.25
1638472500556.237,14.84,92.56,37.51
1638476100570.652,27.46,85.23,36.22
1638479700593.038,17.14,93.92,36.78
1638483300617.6619,17.82,93.91,37.5
1638486900652.9592,23.09,94.3,35.17
1638490500676.162,16.2,89.76,33.08
1638494100701.053,15.04,85.08,35.94
1638497700714.3171,29.46,91.38,36.9
1638501300748.311,21.18,94.33,36.44
1638504900775.258,20.71,69.03,35.54
1638508500798.764,20.71,93.82,37.23
1638512100820.947,14.9,93.77,37.57
1638515700843.28,16.37,93.33,35.54
1638519300865.6,25.31,93.55,37.21
1638522900882.315,18.05,94.49,34.32
1638526500913.0818,17.6,94.52,36.76
1638530100924.813,21.73,91.01,35.89
1638533700954.722,17.78,92.03,36.71
1638537301059.561,19.17,93.26,37.24
1638540901000.727,17.13,93.14,37.48
1638544501033.542,17.06,89.97,36.67
1638548101057.148,17.29,90.86,35.87
1638551701081.1519,37.88,63.61,36.51
1638555301098.023,25.24,91.86,37.13
1638558900287.711,26.14,93.48,25.13
1638562500255.461,20.27,90.78,36.31
1638566100269.324,15.39,90.42,37.42
1638569700294.248,16.57,75.69,36.81
1638573300319.398,20.55,90.66,35.89
1638576900341.1492,18.49,90.42,36.94
1638580500373.6602,18.73,76.67,37.53
1638584100389.353,22.52,90.53,36.06
1638587700421.772,15.22,59.29,35.71
1638591300436.496,15.4,93.36,33.54
1638594900471.527,21.2,93.48,36.21
1638598500494.39,17.57,49.66,36.89
1638602100509.819,15.86,93.74,35.11
1638605700533.24,17.61,93.43,37.25
1638609300566.5742,16.37,94.39,36.71
1638612900308.12,15.18,85.47,37.04
1638616500750.409,20.76,88.51,36.42
1638620101034.228,18.44,49.84,36.53
1638623701248.041,15.74,91.65,34.98
1638627301014.356,20.84,85.59,36.75
1638630901038.094,15.03,90.97,37.03
1638634501052.808,16.25,93.64,35.79
